repo_name,repo_owner,git_url,api_base_url,source_type
solr-for-wordpress,mattweber,git://github.com/mattweber/solr-for-wordpress.git,http://api.github.com,github_repo
subversion-plugin,jenkinsci,git://github.com/jenkinsci/subversion-plugin.git,http://api.github.com,github_repo
artifactory-plugin,jenkinsci,git://github.com/jenkinsci/artifactory-plugin.git,http://api.github.com,github_repo
cobertura-plugin,jenkinsci,git://github.com/jenkinsci/cobertura-plugin.git,http://api.github.com,github_repo
github-plugin,jenkinsci,git://github.com/jenkinsci/github-plugin.git,http://api.github.com,github_repo
log-parser-plugin,jenkinsci,git://github.com/jenkinsci/log-parser-plugin.git,http://api.github.com,github_repo
role-strategy-plugin,jenkinsci,git://github.com/jenkinsci/role-strategy-plugin.git,http://api.github.com,github_repo
scm-sync-configuration-plugin,jenkinsci,git://github.com/jenkinsci/scm-sync-configuration-plugin.git,http://api.github.com,github_repo
tfs-plugin,jenkinsci,git://github.com/jenkinsci/tfs-plugin.git,http://api.github.com,github_repo
violations-plugin,jenkinsci,git://github.com/jenkinsci/violations-plugin.git,http://api.github.com,github_repo
prettytime,ocpsoft,git://github.com/ocpsoft/prettytime.git,http://api.github.com,github_repo
logplex,heroku,git://github.com/heroku/logplex.git,http://api.github.com,github_repo
buddypress-group-email-subscription,boonebgorges,git://github.com/boonebgorges/buddypress-group-email-subscription.git,http://api.github.com,github_repo
kayak,kayakhttp,git://github.com/kayakhttp/kayak.git,http://api.github.com,github_repo
Resty,beders,git://github.com/beders/Resty.git,http://api.github.com,github_repo
fff,meekrosoft,git://github.com/meekrosoft/fff.git,http://api.github.com,github_repo
BreadBoard,stevan,git://github.com/stevan/BreadBoard.git,http://api.github.com,github_repo
spree_active_shipping,spree-contrib,git://github.com/spree-contrib/spree_active_shipping.git,http://api.github.com,github_repo
selenium-plugin,jenkinsci,git://github.com/jenkinsci/selenium-plugin.git,http://api.github.com,github_repo
ec2-plugin,jenkinsci,git://github.com/jenkinsci/ec2-plugin.git,http://api.github.com,github_repo
shoulda-context,thoughtbot,git://github.com/thoughtbot/shoulda-context.git,http://api.github.com,github_repo
silverstripe-advancedreports,nyeholt,git://github.com/nyeholt/silverstripe-advancedreports.git,http://api.github.com,github_repo
babel,mikrobi,git://github.com/mikrobi/babel.git,http://api.github.com,github_repo
JMSSecurityExtraBundle,schmittjoh,git://github.com/schmittjoh/JMSSecurityExtraBundle.git,http://api.github.com,github_repo
rtsp,turboladen,git://github.com/turboladen/rtsp.git,http://api.github.com,github_repo
shoulda-matchers,thoughtbot,git://github.com/thoughtbot/shoulda-matchers.git,http://api.github.com,github_repo
MassiveUnit,massiveinteractive,git://github.com/massiveinteractive/MassiveUnit.git,http://api.github.com,github_repo
jade-mode,brianc,git://github.com/brianc/jade-mode.git,http://api.github.com,github_repo
syntaxhighlighter,syntaxhighlighter,git://github.com/syntaxhighlighter/syntaxhighlighter.git,http://api.github.com,github_repo
dnsrecon,darkoperator,git://github.com/darkoperator/dnsrecon.git,http://api.github.com,github_repo
prezto,sorin-ionescu,git://github.com/sorin-ionescu/prezto.git,http://api.github.com,github_repo
CAAT,hyperandroid,git://github.com/hyperandroid/CAAT.git,http://api.github.com,github_repo
method_source,banister,git://github.com/banister/method_source.git,http://api.github.com,github_repo
mirah-parser,mirah,git://github.com/mirah/mirah-parser.git,http://api.github.com,github_repo
goose,GravityLabs,git://github.com/GravityLabs/goose.git,http://api.github.com,github_repo
gargoyle,disqus,git://github.com/disqus/gargoyle.git,http://api.github.com,github_repo
openstreetmap-website,gravitystorm,git://github.com/gravitystorm/openstreetmap-website.git,http://api.github.com,github_repo
cranvas,ggobi,git://github.com/ggobi/cranvas.git,http://api.github.com,github_repo
simplehttp,bitly,git://github.com/bitly/simplehttp.git,http://api.github.com,github_repo
styles,citation-style-language,git://github.com/citation-style-language/styles.git,http://api.github.com,github_repo
s3-plugin,jenkinsci,git://github.com/jenkinsci/s3-plugin.git,http://api.github.com,github_repo
Bookie,bookieio,git://github.com/bookieio/Bookie.git,http://api.github.com,github_repo
aws-toolkit-eclipse,aws,git://github.com/aws/aws-toolkit-eclipse.git,http://api.github.com,github_repo
war,taoneill,git://github.com/taoneill/war.git,http://api.github.com,github_repo
jQRangeSlider,ghusse,git://github.com/ghusse/jQRangeSlider.git,http://api.github.com,github_repo
PinDroid,maxpower47,git://github.com/maxpower47/PinDroid.git,http://api.github.com,github_repo
vdrift,VDrift,git://github.com/VDrift/vdrift.git,http://api.github.com,github_repo
dracula,strathausen,git://github.com/strathausen/dracula.git,http://api.github.com,github_repo
jIRCBot,Hive13,git://github.com/Hive13/jIRCBot.git,http://api.github.com,github_repo
ios-sim,ios-control,git://github.com/ios-control/ios-sim.git,http://api.github.com,github_repo
teeworlds,fstd,git://github.com/fstd/teeworlds.git,http://api.github.com,github_repo
Most-Pixels-Ever-Processing,shiffman,git://github.com/shiffman/Most-Pixels-Ever-Processing.git,http://api.github.com,github_repo
Sweeper_0.3.2,ushahidi,git://github.com/ushahidi/Sweeper_0.3.2.git,http://api.github.com,github_repo
atomik,maximebf,git://github.com/maximebf/atomik.git,http://api.github.com,github_repo
thingspeak,iobridge,git://github.com/iobridge/thingspeak.git,http://api.github.com,github_repo
ulatencyd,poelzi,git://github.com/poelzi/ulatencyd.git,http://api.github.com,github_repo
silverstripe-tagfield,silverstripe,git://github.com/silverstripe/silverstripe-tagfield.git,http://api.github.com,github_repo
siena,mandubian,git://github.com/mandubian/siena.git,http://api.github.com,github_repo
bitcoin,bitcoin,git://github.com/bitcoin/bitcoin.git,http://api.github.com,github_repo
magnum,mosra,git://github.com/mosra/magnum.git,http://api.github.com,github_repo
django-media-tree,samluescher,git://github.com/samluescher/django-media-tree.git,http://api.github.com,github_repo
silverstripe-recaptcha,chillu,git://github.com/chillu/silverstripe-recaptcha.git,http://api.github.com,github_repo
sniproxy,dlundquist,git://github.com/dlundquist/sniproxy.git,http://api.github.com,github_repo
api,apileipzig,git://github.com/apileipzig/api.git,http://api.github.com,github_repo
webdis,nicolasff,git://github.com/nicolasff/webdis.git,http://api.github.com,github_repo
zookeeper,zk-ruby,git://github.com/zk-ruby/zookeeper.git,http://api.github.com,github_repo
OpenEmu,OpenEmu,git://github.com/OpenEmu/OpenEmu.git,http://api.github.com,github_repo
cabal-dev,creswick,git://github.com/creswick/cabal-dev.git,http://api.github.com,github_repo
nitrogen,l3ib,git://github.com/l3ib/nitrogen.git,http://api.github.com,github_repo
node-qrcode,soldair,git://github.com/soldair/node-qrcode.git,http://api.github.com,github_repo
LittleProxy,adamfisk,git://github.com/adamfisk/LittleProxy.git,http://api.github.com,github_repo
mlib,massiveinteractive,git://github.com/massiveinteractive/mlib.git,http://api.github.com,github_repo
boxroom,mischa78,git://github.com/mischa78/boxroom.git,http://api.github.com,github_repo
minimongo,slacy,git://github.com/slacy/minimongo.git,http://api.github.com,github_repo
spring-retry,spring-projects,git://github.com/spring-projects/spring-retry.git,http://api.github.com,github_repo
flask-mongoalchemy,cobrateam,git://github.com/cobrateam/flask-mongoalchemy.git,http://api.github.com,github_repo
JSON-java,stleary,git://github.com/stleary/JSON-java.git,http://api.github.com,github_repo
lobos,budu,git://github.com/budu/lobos.git,http://api.github.com,github_repo
wsc,forcedotcom,git://github.com/forcedotcom/wsc.git,http://api.github.com,github_repo
minima,marcobarbosa,git://github.com/marcobarbosa/minima.git,http://api.github.com,github_repo
vim-notes,xolox,git://github.com/xolox/vim-notes.git,http://api.github.com,github_repo
xeroizer,waynerobinson,git://github.com/waynerobinson/xeroizer.git,http://api.github.com,github_repo
tcollector,OpenTSDB,git://github.com/OpenTSDB/tcollector.git,http://api.github.com,github_repo
django-cumulus,django-cumulus,git://github.com/django-cumulus/django-cumulus.git,http://api.github.com,github_repo
clcache,frerich,git://github.com/frerich/clcache.git,http://api.github.com,github_repo
podio-php,podio,git://github.com/podio/podio-php.git,http://api.github.com,github_repo
HtmlViewer,BerndGabriel,git://github.com/BerndGabriel/HtmlViewer.git,http://api.github.com,github_repo
FOSUserBundle,FriendsOfSymfony,git://github.com/FriendsOfSymfony/FOSUserBundle.git,http://api.github.com,github_repo
chef-rundeck,oswaldlabs,git://github.com/oswaldlabs/chef-rundeck.git,http://api.github.com,github_repo
PySide,pyside,git://github.com/pyside/PySide.git,http://api.github.com,github_repo
Shiboken,pyside,git://github.com/pyside/Shiboken.git,http://api.github.com,github_repo
rdoc,ruby,git://github.com/ruby/rdoc.git,http://api.github.com,github_repo
smooks,smooks,git://github.com/smooks/smooks.git,http://api.github.com,github_repo
PyHamcrest,hamcrest,git://github.com/hamcrest/PyHamcrest.git,http://api.github.com,github_repo
angular-seed,angular,git://github.com/angular/angular-seed.git,http://api.github.com,github_repo
Flask-FlatPages,Flask-FlatPages,git://github.com/Flask-FlatPages/Flask-FlatPages.git,http://api.github.com,github_repo
ngx_aws_auth,anomalizer,git://github.com/anomalizer/ngx_aws_auth.git,http://api.github.com,github_repo
jquery-addresspicker,sgruhier,git://github.com/sgruhier/jquery-addresspicker.git,http://api.github.com,github_repo
asterisk-java,asterisk-java,git://github.com/asterisk-java/asterisk-java.git,http://api.github.com,github_repo
Frozen-Flask,Frozen-Flask,git://github.com/Frozen-Flask/Frozen-Flask.git,http://api.github.com,github_repo
imgscalr,rkalla,git://github.com/rkalla/imgscalr.git,http://api.github.com,github_repo
rsted,anru,git://github.com/anru/rsted.git,http://api.github.com,github_repo
edis,cbd,git://github.com/cbd/edis.git,http://api.github.com,github_repo
coqoon,coqoon,git://github.com/coqoon/coqoon.git,http://api.github.com,github_repo
TortoiseGit,TortoiseGit,git://github.com/TortoiseGit/TortoiseGit.git,http://api.github.com,github_repo
zsh-syntax-highlighting,zsh-users,git://github.com/zsh-users/zsh-syntax-highlighting.git,http://api.github.com,github_repo
LiipFunctionalTestBundle,liip,git://github.com/liip/LiipFunctionalTestBundle.git,http://api.github.com,github_repo
whalesong,dyoo,git://github.com/dyoo/whalesong.git,http://api.github.com,github_repo
FOSMessageBundle,FriendsOfSymfony,git://github.com/FriendsOfSymfony/FOSMessageBundle.git,http://api.github.com,github_repo
wolfcms,wolfcms,git://github.com/wolfcms/wolfcms.git,http://api.github.com,github_repo
schematics,schematics,git://github.com/schematics/schematics.git,http://api.github.com,github_repo
phantomjs,ariya,git://github.com/ariya/phantomjs.git,http://api.github.com,github_repo
henplus,neurolabs,git://github.com/neurolabs/henplus.git,http://api.github.com,github_repo
awesome_nested_fields,lailsonbm,git://github.com/lailsonbm/awesome_nested_fields.git,http://api.github.com,github_repo
mymysql,ziutek,git://github.com/ziutek/mymysql.git,http://api.github.com,github_repo
dynmap,webbukkit,git://github.com/webbukkit/dynmap.git,http://api.github.com,github_repo
go-fuse,hanwen,git://github.com/hanwen/go-fuse.git,http://api.github.com,github_repo
buddypress-docs,boonebgorges,git://github.com/boonebgorges/buddypress-docs.git,http://api.github.com,github_repo
vim-puppet,rodjek,git://github.com/rodjek/vim-puppet.git,http://api.github.com,github_repo
rhinocommon,mcneel,git://github.com/mcneel/rhinocommon.git,http://api.github.com,github_repo
jReject,TurnWheel,git://github.com/TurnWheel/jReject.git,http://api.github.com,github_repo
django-bitfield,disqus,git://github.com/disqus/django-bitfield.git,http://api.github.com,github_repo
vimgolf,igrigorik,git://github.com/igrigorik/vimgolf.git,http://api.github.com,github_repo
websocket-client,websocket-client,git://github.com/websocket-client/websocket-client.git,http://api.github.com,github_repo
cfspreadsheet-railo,teamcfadvance,git://github.com/teamcfadvance/cfspreadsheet-railo.git,http://api.github.com,github_repo
stylus,stylus,git://github.com/stylus/stylus.git,http://api.github.com,github_repo
playdoh,mozilla,git://github.com/mozilla/playdoh.git,http://api.github.com,github_repo
UIAlertView-Blocks,jivadevoe,git://github.com/jivadevoe/UIAlertView-Blocks.git,http://api.github.com,github_repo
nlnog-ring,NLNOG,git://github.com/NLNOG/nlnog-ring.git,http://api.github.com,github_repo
aura-bot,Josko,git://github.com/Josko/aura-bot.git,http://api.github.com,github_repo
seajs,seajs,git://github.com/seajs/seajs.git,http://api.github.com,github_repo
emacs-calfw,kiwanami,git://github.com/kiwanami/emacs-calfw.git,http://api.github.com,github_repo
movabletype,movabletype,git://github.com/movabletype/movabletype.git,http://api.github.com,github_repo
ruby-opencv,ruby-opencv,git://github.com/ruby-opencv/ruby-opencv.git,http://api.github.com,github_repo
winston,winstonjs,git://github.com/winstonjs/winston.git,http://api.github.com,github_repo
syn,bitovi,git://github.com/bitovi/syn.git,http://api.github.com,github_repo
