repo_name,repo_owner,git_url,api_base_url,source_type,access_token
abaco,TACC,git://github.com/TACC/abaco,http://api.github.com,github_repo,
abinit,abinit,git://github.com/abinit/abinit,http://api.github.com,github_repo,
apbs-pdb2pqr,Electrostatics,git://github.com/Electrostatics/apbs-pdb2pqr,http://api.github.com,github_repo,
blis,flame,git://github.com/flame/blis,http://api.github.com,github_repo,
cctools,cooperative-computing-lab,git://github.com/cooperative-computing-lab/cctools,http://api.github.com,github_repo,
changa,N-BodyShop,git://github.com/N-BodyShop/changa,http://api.github.com,github_repo,
clowder,ncsa,git://github.com/ncsa/clowder,http://api.github.com,github_repo,
cpptraj,Amber-MD,git://github.com/Amber-MD/cpptraj,http://api.github.com,github_repo,
cyclus,cyclus,git://github.com/cyclus/cyclus,http://api.github.com,github_repo,
elasticsearch,elastic,git://github.com/elastic/elasticsearch,http://api.github.com,github_repo,
forcebalance,leeping,git://github.com/leeping/forcebalance,http://api.github.com,github_repo,
galaxy,galaxyproject,git://github.com/galaxyproject/galaxy,http://api.github.com,github_repo,
GooFit,GooFit,git://github.com/GooFit/GooFit,http://api.github.com,github_repo,
hoomd-blue,glotzerlab,git://github.com/glotzerlab/hoomd-blue,http://api.github.com,github_repo,
htmd,Acellera,git://github.com/Acellera/htmd,http://api.github.com,github_repo,
hubzero-cms,hubzero,git://github.com/hubzero/hubzero-cms,http://api.github.com,github_repo,
hydroshare,hydroshare,git://github.com/hydroshare/hydroshare,http://api.github.com,github_repo,
irods ,irods,git://github.com/irods/irods,http://api.github.com,github_repo,
lammps,lammps,git://github.com/lammps/lammps,http://api.github.com,github_repo,
luafilesystem,keplerproject,git://github.com/keplerproject/luafilesystem,http://api.github.com,github_repo,
luigi,spotify,git://github.com/spotify/luigi,http://api.github.com,github_repo,
madness,m-a-d-n-e-s-s,git://github.com/m-a-d-n-e-s-s/madness,http://api.github.com,github_repo,
MAST,uw-cmg,git://github.com/uw-cmg/MAST,http://api.github.com,github_repo,
mdtraj,mdtraj,git://github.com/mdtraj/mdtraj,http://api.github.com,github_repo,
MetPy,Unidata,git://github.com/Unidata/MetPy,http://api.github.com,github_repo,
mpqc,ValeevGroup,git://github.com/ValeevGroup/mpqc,http://api.github.com,github_repo,
ndslabs,nds-org,git://github.com/nds-org/ndslabs,http://api.github.com,github_repo,
nwchem,nwchemgit,git://github.com/nwchemgit/nwchem,http://api.github.com,github_repo,
ompi,open-mpi,git://github.com/open-mpi/ompi,http://api.github.com,github_repo,
openforcefield,openforcefield,git://github.com/openforcefield/openforcefield,http://api.github.com,github_repo,
openmm,pandegroup,git://github.com/pandegroup/openmm/,http://api.github.com,github_repo,
openmmtools,choderalab,git://github.com/choderalab/openmmtools,http://api.github.com,github_repo,
OpenMx,OpenMx,git://github.com/OpenMx/OpenMx,http://api.github.com,github_repo,
orca5,RENCI-NRIG,git://github.com/RENCI-NRIG/orca5,http://api.github.com,github_repo,
parsl,Parsl,git://github.com/Parsl/parsl,http://api.github.com,github_repo,
pcmsolver,PCMSolver,git://github.com/PCMSolver/pcmsolver,http://api.github.com,github_repo,
plumed2,plumed,git://github.com/plumed/plumed2,http://api.github.com,github_repo,
plumed2,plumed,git://github.com/plumed/plumed2,http://api.github.com,github_repo,
psi4,psi4,git://github.com/psi4/psi4,http://api.github.com,github_repo,
pymatgen,materialsproject,git://github.com/materialsproject/pymatgen,http://api.github.com,github_repo,
pyscf,pyscf,git://github.com/pyscf/pyscf,http://api.github.com,github_repo,
QCFractal,MolSSI,git://github.com/MolSSI/QCFractal,http://api.github.com,github_repo,
quantum_package,LCPQ,git://github.com/LCPQ/quantum_package,http://api.github.com,github_repo,
radical.pilot,radical-cybertools,git://github.com/radical-cybertools/radical.pilot,http://api.github.com,github_repo,
RMG-Py,ReactionMechanismGenerator,git://github.com/ReactionMechanismGenerator/RMG-Py,http://api.github.com,github_repo,
signac,glotzerlab,git://github.com/glotzerlab/signac/,http://api.github.com,github_repo,
signac-flow,glotzerlab,git://github.com/glotzerlab/signac-flow,http://api.github.com,github_repo,
TauDEM,dtarb,git://github.com/dtarb/TauDEM,http://api.github.com,github_repo,
trellis ,trellis-ldp,git://github.com/trellis-ldp/trellis,http://api.github.com,github_repo,
Trilinos,trilinos,git://github.com/trilinos/Trilinos,http://api.github.com,github_repo,
tripal,tripal,git://github.com/tripal/tripal,http://api.github.com,github_repo,
WorkflowComponents,LearnSphere,git://github.com/LearnSphere/WorkflowComponents,http://api.github.com,github_repo,
Xenon,NLeSC,git://github.com/NLeSC/Xenon,http://api.github.com,github_repo,
yank,choderalab,git://github.com/choderalab/yank,http://api.github.com,github_repo,
yt,yt-project,git://github.com/yt-project/yt,http://api.github.com,github_repo,
galaxy,galaxyproject,git://github.com/galaxyproject/galaxy,http://api.github.com,github_repo,
dealii,dealii,git://github.com/dealii/dealii,http://api.github.com,github_repo,
foyer,mosdef-hub,git://github.com/mosdef-hub/foyer,http://api.github.com,github_repo,
